MATERIAL	DESC_MAT	QTDE	X	Y	Z	ENDERECO
159107	159107-PORCA DE TRAVAMENTO 0,38 - 16 NC GR8, TODO	100,00	D	P	1	DP1
242972	LUBE OIL FILTER - FLEETGUARD 3 - LF9070 - FILTRO O	5,00	D	P	1	DP1
35978	FILTRO DE RETORNO DO OLEO HLMBF-10-SG	1,00	D	P	1	DP1
35984	FILTRO DE AR E BOCAL DE ABASTECIMENTO FA7640L/2	2,00	D	P	1	DP1
H17563	ARRUELA TRAVA MED 0.38, REF. LORAM H17563, PARA US	5.900,00	D	P	2	DP2
H30119	PARAFUSO SEXTAVADO REF. H30119 PARAFUSO 3/8X16X1 R	6.100,00	D	P	2	DP2
H32196	H32196-ARRUELA LISA 0.50 0.53 ID X 1.060D X 0.14TH	100,00	D	P	2	DP2
H69806	ARRUELA LISA 0,250,28ID X 0,62 OD X 0,06 THK, REF.	100,00	D	P	2	DP2
H94905	ARRUELA LISA DUREZA M6, 6,4 ID X 12,5 OD X 1,6 THK	100,00	D	P	2	DP2
H94908	H94908-ARRUELA LISA DURA M12 13,0 DIAM. INT. X 24,	100,00	D	P	2	DP2
105274	PARAFUSO SEXTAVADO 0.50-13 NCX 2.00 GR8, REF. LORA	100,00	D	P	2	DP2
203724	PARAFUSO SEXTAVADO M12X1.75X35 GR 10.9, REF. LORAM	29,00	D	P	2	DP2
215319	FILTRO DE COMBUSTIVEL FILTRO ICMS PAGO ANTERIORMEN	2,00	D	P	2	DP2
215320	FILTRO SEPARADOR DE AGUA FILTRO ICMS PAGO ANTERIOR	1,00	D	P	2	DP2
229553	PARAFUSO SEXTAVADO 25-20NCX2.00 GR8, REF. LORAM 22	100,00	D	P	2	DP2
237462	PARAFUSO ALLEN DE CABECA ABAULADA M6X1.00X40 GR10.	100,00	D	P	2	DP2
252983	FILTRO DE OLEO FILTRO ICMS PAGO ANTERIORMENTE POR	2,00	D	P	2	DP2
59594	KIT COLETA DE OLEO LUBRIFICANTE KITCOLETA1AM ICMS	4,00	D	P	2	DP2
H69752	ARRUELA LISA SAE 1.38, REF. LORAM H69752, PARA USO	100,00	D	P	3	DP3
203724	PARAFUSO SEXTAVADO M12X1.75X35 GR 10.9, REF. LORAM	71,00	D	P	3	DP3
208971	PLC 1794 ANALOG I/O; VOLTAGE CURRENT 8IN MODULO DE	1,00	D	P	3	DP3
56214	CHAVE ALLEN CAB=T 5/32"X 177,5MM 42T532 GEDORE CHA	2,00	D	P	3	DP3
56220	CHAVE T ALLEN ACRV ESC FIXA 3/16"X 199,5MM 42T316	2,00	D	P	3	DP3
59602	KIT COLETA DE OLEO DIESEL KIT DIESEL COLETA ICMS P	1,00	D	P	3	DP3
A19596	FIO 16/4 TIPO SO66 (QUANTIDADE MIN. 100) RESPONSAV	6,00	0	0	0	000
A25001	CONECTOR AUTO TRAVANTE RESPONSAVEL PELA MONTAGEM D	2,00	0	0	0	000
A26924	PORCA AUTO TRAVANTE 0,75 RESPONSAVEL PELA MONTAGEM	2,00	0	0	0	000
A28287	PAINEL ELETRICO DE MONTAGEM RESPONSAVEL PELA LIGAC	4,00	0	0	0	000
A32942	BICO DE CONDUTA 0,50 POLEGADA; TIPO DESCARGA RESPO	10,00	0	0	0	000
A34495	ANEL DE TERMINAL LUG RESPONSAVEL PELA TERMINACAO D	4,00	0	0	0	000
A34557	ANEL DE TERMINAL LUG RESPONSAVEL PELA TERMINACAO D	4,00	0	0	0	000
A39397	ABRACADEIRA MULTI 10-4-3 RESPONSAVEL PELA CONEXAO	4,00	0	0	0	000
A64284	VALVULA ESFERA 0.50 NPT BRONZE, REF. LORAM A64284	2,00	0	0	0	000
A65339	TRAVA ROSCA; RESISTENCIA MEDIA SEM PRIMARIO PARA F	17,00	0	0	0	000
A84300	MANGUEIRA DE PROTECAO .75 ID LARANJA RESPONSAVEL P	16,00	0	0	0	000
A91637	A91637-FIO 6 GA PRETO, UTILIZADO PARA FAZER A LIGA	18,29	0	0	0	000
A91638	A91638-FIO NUMERO 4 GA MTW 600V PRETO RESPONSAVEL	225,00	0	0	0	000
D90671	D90671-SUPORTE DE REBOLO 10 POLEGADAS PARA USO NO	3,00	0	0	0	000
H100343	PORCA HEX M6 X 1,00 GR8,8; ZINCO PLTD RESPONSAVEL	4,00	0	0	0	000
